gen,AA,AB,BB,BO,OO,AO
96,0.123716,0.154735,0.0505985,0.193514,0.181275,0.296151
97,0.122656,0.153895,0.0504385,0.191614,0.183215,0.298171
98,0.123016,0.154815,0.0499785,0.189494,0.182595,0.300091
99,0.122796,0.157555,0.0504185,0.191334,0.181115,0.296771
100,0.117996,0.160055,0.0495585,0.192514,0.182435,0.297431
101,0.116796,0.157035,0.0493185,0.193874,0.181135,0.301831
102,0.119896,0.157715,0.0507385,0.189974,0.181595,0.300071
103,0.119196,0.157715,0.0505585,0.193874,0.179855,0.298791
104,0.117616,0.158115,0.0495385,0.191054,0.182155,0.301511
105,0.121876,0.154995,0.0507985,0.193574,0.181235,0.297511
106,0.119916,0.155415,0.0507585,0.195354,0.184694,0.293851
107,0.118256,0.156995,0.0514585,0.195254,0.183854,0.294171
108,0.118956,0.157595,0.0503785,0.192314,0.181895,0.298851
109,0.120576,0.156775,0.0510585,0.196254,0.180775,0.294551
110,0.120876,0.157515,0.0501385,0.192354,0.184214,0.294891
111,0.121076,0.156735,0.0521984,0.192454,0.185294,0.292231
112,0.120436,0.155755,0.0506185,0.194074,0.182355,0.296751
113,0.118236,0.159715,0.0498585,0.194074,0.183494,0.294611
114,0.119536,0.159135,0.0496985,0.193114,0.181775,0.296731
115,0.118956,0.160815,0.0508985,0.195574,0.178875,0.294871
116,0.117796,0.157795,0.0518584,0.194034,0.181175,0.297331
117,0.119296,0.155855,0.0525984,0.196314,0.183934,0.291991
118,0.120256,0.153435,0.0507385,0.195554,0.185814,0.294191
119,0.118596,0.155435,0.0518184,0.193854,0.182915,0.297371
120,0.118876,0.152715,0.0503785,0.195114,0.184674,0.298231
121,0.118016,0.153635,0.0496785,0.197694,0.182455,0.298511
122,0.118336,0.155775,0.0490185,0.192594,0.185274,0.298991
123,0.116756,0.155355,0.0501585,0.193214,0.185834,0.298671
124,0.118176,0.153135,0.0503985,0.190894,0.185314,0.302071
125,0.117816,0.151855,0.0504985,0.192014,0.186314,0.301491
126,0.119276,0.154435,0.0514585,0.190854,0.187714,0.296251
127,0.118156,0.153535,0.0488785,0.193794,0.188294,0.297331
128,0.118536,0.152795,0.0481986,0.188954,0.191374,0.300131
129,0.118476,0.154895,0.0492585,0.189954,0.190674,0.296731
130,0.118176,0.150935,0.0473386,0.192014,0.190934,0.300591
131,0.118516,0.151395,0.0498985,0.191534,0.188734,0.299911
132,0.117276,0.155175,0.0491585,0.187514,0.190354,0.300511
133,0.118476,0.156675,0.0489785,0.190354,0.190254,0.295251
134,0.118436,0.152955,0.0496585,0.190634,0.193334,0.294971
135,0.121116,0.149896,0.0497585,0.190774,0.189934,0.298511
136,0.120396,0.152455,0.0486585,0.194234,0.187214,0.297031
137,0.119296,0.150635,0.0503785,0.191534,0.190434,0.297711
138,0.118616,0.149996,0.0496185,0.189974,0.190854,0.300931
139,0.116856,0.150735,0.0487585,0.189574,0.189654,0.304411
140,0.121896,0.148496,0.0479386,0.191454,0.190334,0.299871
141,0.118616,0.149116,0.0501385,0.191054,0.190754,0.300311
142,0.117236,0.150355,0.0487185,0.193154,0.190474,0.300051
143,0.117196,0.150755,0.0475986,0.192934,0.189014,0.302491
144,0.118636,0.149436,0.0488385,0.190154,0.188954,0.303971
145,0.120696,0.150415,0.0481786,0.188794,0.190594,0.301311
146,0.119596,0.149696,0.0492985,0.187894,0.192454,0.301051
147,0.120216,0.148356,0.0466186,0.189414,0.193294,0.302091
148,0.116637,0.150375,0.0451386,0.191714,0.192334,0.303791
149,0.120756,0.149456,0.0459786,0.186554,0.193654,0.303591
150,0.118396,0.150935,0.0452986,0.188614,0.193754,0.302991
151,0.118616,0.150475,0.0461586,0.188194,0.190414,0.306131
152,0.119116,0.150295,0.0468186,0.188014,0.193194,0.302551
153,0.118856,0.150835,0.0481186,0.186934,0.194134,0.301111
154,0.120316,0.152375,0.0456786,0.187914,0.193874,0.299831
155,0.119876,0.147916,0.0468186,0.191194,0.192814,0.301371
156,0.118976,0.148276,0.0479586,0.189214,0.193134,0.302431
157,0.119556,0.150435,0.0475386,0.191054,0.188534,0.302871
158,0.120076,0.149316,0.0488785,0.190354,0.190634,0.300731
159,0.122376,0.150475,0.0466186,0.186774,0.192994,0.300751
160,0.122716,0.151195,0.0460786,0.189894,0.186694,0.303411
161,0.119756,0.152735,0.0465786,0.190374,0.188354,0.302191
162,0.118536,0.151935,0.0475186,0.188494,0.191674,0.301831
163,0.120216,0.151435,0.0474186,0.188554,0.190274,0.302091
164,0.122356,0.152115,0.0480986,0.190834,0.186354,0.300231
165,0.120456,0.148616,0.0477386,0.191554,0.188074,0.303551
166,0.121876,0.149616,0.0469186,0.190874,0.187514,0.303191
167,0.120516,0.150295,0.0477186,0.186954,0.189874,0.304631
168,0.119816,0.152095,0.0490985,0.186174,0.187774,0.305031
169,0.119836,0.149456,0.0477786,0.190154,0.187934,0.304831
170,0.119696,0.152375,0.0485185,0.187414,0.190034,0.301951
171,0.120036,0.150955,0.0475986,0.188334,0.188534,0.304531
172,0.119656,0.152955,0.0470386,0.186894,0.191854,0.301591
173,0.120316,0.150015,0.0462386,0.187634,0.193934,0.301851
174,0.121376,0.152975,0.0482386,0.187434,0.190134,0.299831
175,0.121376,0.149976,0.0463986,0.191254,0.190514,0.300471
176,0.121856,0.150155,0.0468586,0.192394,0.187194,0.301531
177,0.122916,0.149216,0.0455186,0.191674,0.186854,0.303811
178,0.119576,0.149156,0.0473986,0.190194,0.190674,0.302991
179,0.121916,0.148356,0.0458386,0.187374,0.195594,0.300911
180,0.120436,0.150275,0.0458786,0.188894,0.194074,0.300431
181,0.120496,0.151435,0.0455986,0.187994,0.192794,0.301671
182,0.121216,0.148736,0.0467586,0.187794,0.192134,0.303351
183,0.120156,0.150575,0.0458586,0.188894,0.190734,0.303771
184,0.120656,0.148456,0.0465386,0.189294,0.192854,0.302191
185,0.119376,0.151535,0.0463186,0.191014,0.190914,0.300831
186,0.118376,0.152035,0.0471386,0.189074,0.192014,0.301351
187,0.121136,0.147936,0.0473586,0.190274,0.189594,0.303691
188,0.117436,0.150275,0.0480786,0.189574,0.193394,0.301231
189,0.120196,0.150895,0.0467986,0.192254,0.189754,0.300091
190,0.120136,0.150035,0.0455586,0.190054,0.188234,0.305971
191,0.121456,0.149836,0.0464386,0.191014,0.188734,0.302511
192,0.120016,0.148536,0.0466586,0.188274,0.194254,0.302251
193,0.120496,0.147976,0.0487185,0.189874,0.191034,0.301891
194,0.119536,0.150055,0.0462386,0.191934,0.192374,0.299851
195,0.117296,0.149316,0.0478986,0.189794,0.190454,0.305231
196,0.118156,0.149556,0.0469986,0.187234,0.193694,0.304351
197,0.117816,0.152575,0.0462586,0.188254,0.191754,0.303331
198,0.119996,0.151135,0.0464186,0.187554,0.195094,0.299791
199,0.121296,0.147196,0.0457986,0.188054,0.192354,0.305291
200,0.119376,0.147196,0.0456186,0.188574,0.190734,0.308491
201,0.121356,0.145416,0.0466986,0.188594,0.191634,0.306291
202,0.120436,0.147616,0.0460786,0.186954,0.196794,0.302111
203,0.120816,0.149196,0.0458986,0.186754,0.194994,0.302331
204,0.122076,0.147756,0.0470786,0.188854,0.194274,0.299951
205,0.120556,0.148516,0.0471186,0.187974,0.195514,0.300311
206,0.120176,0.147856,0.0456386,0.190074,0.193934,0.302311
207,0.118856,0.151015,0.0451186,0.192294,0.190894,0.301811
208,0.121956,0.148516,0.0462186,0.190294,0.190294,0.302711
209,0.118276,0.148316,0.0461586,0.192374,0.191914,0.302951
210,0.121956,0.147596,0.0466786,0.193394,0.191334,0.299031
211,0.120716,0.148076,0.0475986,0.190394,0.193834,0.299371
212,0.120496,0.150775,0.0464386,0.189854,0.193554,0.298871
213,0.119756,0.152875,0.0481986,0.188154,0.190514,0.300491
214,0.121556,0.152015,0.0468386,0.193534,0.188954,0.297091
215,0.121896,0.149616,0.0489185,0.186674,0.190214,0.302671
216,0.122476,0.150115,0.0475986,0.191094,0.190514,0.298191
217,0.121296,0.150515,0.0486185,0.190554,0.189174,0.299831
218,0.121596,0.150935,0.0476386,0.190374,0.189254,0.300191
219,0.120536,0.149676,0.0481786,0.188774,0.192414,0.300411
220,0.119416,0.150475,0.0474586,0.192054,0.188294,0.302291
221,0.117956,0.151795,0.0490385,0.186654,0.189974,0.304571
222,0.118936,0.152415,0.0468986,0.189094,0.192714,0.299931
223,0.120256,0.152715,0.0466586,0.189154,0.191454,0.299751
224,0.119696,0.150955,0.0476386,0.194274,0.189474,0.297951
225,0.121616,0.153015,0.0470386,0.190374,0.190594,0.297351
226,0.120156,0.150375,0.0478186,0.191954,0.192954,0.296731
227,0.120936,0.152075,0.0479586,0.189614,0.190774,0.298631
228,0.118896,0.151595,0.0476786,0.191114,0.192314,0.298391
229,0.119356,0.151455,0.0485185,0.190294,0.191634,0.298731
230,0.120116,0.151095,0.0474586,0.188354,0.193294,0.299671
231,0.121256,0.152135,0.0481786,0.190814,0.189174,0.298431
232,0.123016,0.148696,0.0466586,0.192574,0.189554,0.299491
233,0.120616,0.150295,0.0481786,0.186574,0.191194,0.303131
234,0.119456,0.149136,0.0484385,0.187834,0.192094,0.303031
235,0.117776,0.150695,0.0469386,0.189394,0.188954,0.306231
236,0.119376,0.150655,0.0468586,0.191734,0.189894,0.301471
237,0.118816,0.150435,0.0455786,0.192954,0.188554,0.303651
238,0.120416,0.151555,0.0467186,0.192314,0.188934,0.300051
239,0.120296,0.149536,0.0459386,0.192334,0.190914,0.300971
240,0.117416,0.154475,0.0477586,0.191734,0.191974,0.296631
241,0.118096,0.150495,0.0473786,0.191394,0.189994,0.302631
242,0.116756,0.151395,0.0487785,0.192674,0.192414,0.297971
243,0.117396,0.150495,0.0480786,0.194214,0.189474,0.300331
244,0.114837,0.152455,0.0492185,0.194874,0.189634,0.298971
245,0.116037,0.151155,0.0491185,0.192114,0.188614,0.302951
246,0.116936,0.150675,0.0493985,0.193114,0.190714,0.299151
247,0.115157,0.150855,0.0508785,0.191634,0.190094,0.301371
248,0.117596,0.151475,0.0491985,0.194114,0.187194,0.300411
249,0.115997,0.151495,0.0502385,0.194394,0.189354,0.298511
250,0.118616,0.151195,0.0498985,0.193434,0.186674,0.300171
251,0.115957,0.152895,0.0495985,0.193474,0.191094,0.296971
